,id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
398481,398482,US,492,PHX,DEN,4,1075,105,0
446165,446166,DL,1062,MCO,LAX,7,1090,341,1
298066,298067,WN,1798,LAS,SAN,6,495,65,0
103947,103948,FL,684,ICT,ATL,2,378,132,0
489994,489995,OO,4601,IDA,SLC,3,480,68,0
86515,86516,AS,322,SEA,SJC,1,405,128,0
520337,520338,XE,5943,ORD,CLE,4,1090,76,1
512611,512612,US,1700,MIA,CLT,4,690,124,1
82957,82958,9E,4067,DTW,TYS,7,1160,98,0
258952,258953,OO,6487,MRY,DEN,4,362,151,1
179750,179751,MQ,2803,DFW,SGF,6,670,75,0
428723,428724,DL,1185,EWR,SLC,6,1040,313,1
365599,365600,MQ,3894,XNA,ORD,3,350,100,1
261945,261946,MQ,2797,DFW,FSM,4,515,60,1
173044,173045,DL,1877,ATL,PNS,5,1233,81,0
215752,215753,EV,5514,MEI,ATL,1,860,78,1
350208,350209,WN,647,DEN,TUL,2,490,90,1
182493,182494,OH,6472,MDT,CVG,6,830,108,0
102785,102786,OH,6344,MSP,OKC,1,1305,132,0
170249,170250,WN,1540,LAS,PHX,5,1070,65,1
489036,489037,MQ,3658,GSO,MIA,3,430,135,0
489806,489807,US,1516,BWI,PHL,3,470,55,1
39068,39069,DL,511,ATL,JAX,5,510,77,0
507083,507084,EV,5042,OKC,ATL,4,412,127,1
176009,176010,FL,360,ATL,LGA,6,455,127,0
309562,309563,WN,1596,DAL,TUL,6,1165,55,1
485395,485396,OO,6362,LAX,SBA,2,1204,44,1
34698,34699,WN,400,MDW,OMA,4,1240,90,0
326914,326915,YV,7257,ORD,CHS,7,1186,119,1
62432,62433,WN,1796,MSY,PHX,6,845,220,1
415462,415463,US,948,RDU,CLT,5,1070,64,0
9207,9208,9E,3823,MSP,PIT,3,825,126,1
13814,13815,OO,6862,ORD,MBS,3,1067,60,0
404184,404185,WN,193,JAX,BWI,5,425,110,1
214355,214356,UA,734,ORD,PIT,1,785,87,0
92439,92440,FL,1581,BKG,ATL,1,704,94,0
389279,389280,US,1157,PHL,RSW,4,600,188,0
28625,28626,9E,4332,ATL,ROC,4,905,118,0
175821,175822,DL,1468,ATL,DTW,6,445,118,0
172491,172492,AS,330,SEA,SJC,5,1195,126,1
441283,441284,UA,601,MSP,ORD,7,835,85,0
86622,86623,MQ,3268,ACT,DFW,1,410,45,0
279697,279698,EV,5067,BNA,ATL,5,484,81,0
264595,264596,XE,2096,MFE,IAH,4,651,72,0
507090,507091,OO,6253,DLH,ORD,4,414,90,1
376348,376349,AS,152,OTZ,ANC,3,895,85,1
244730,244731,DL,2763,JFK,LAX,3,540,393,0
178199,178200,WN,1195,LAS,AUS,6,580,155,0
288347,288348,US,1841,PVD,PHL,5,930,106,0
160891,160892,WN,863,OKC,MCI,5,585,70,0
328110,328111,B6,528,MCO,EWR,7,1290,146,1
339218,339219,DL,2051,MSP,LAS,1,870,208,1
383851,383852,DL,1714,ONT,ATL,3,1380,240,0
525195,525196,AA,1114,MIA,LGA,5,405,170,0
507226,507227,DL,1498,FLL,LGA,4,420,177,0
255128,255129,UA,265,PIT,LAX,3,1096,330,1
375589,375590,AA,2445,DFW,LAX,3,855,210,1
184811,184812,US,1998,CLT,IAH,6,980,167,0
404447,404448,WN,1995,PHL,BNA,5,440,145,1
257509,257510,OH,6447,CVG,HTS,3,1250,47,0
111766,111767,FL,1400,ROC,MCO,2,797,168,0
110866,110867,WN,1812,PHL,BOS,2,745,80,0
303277,303278,FL,850,EYW,MCO,6,785,65,0
414129,414130,UA,210,LAX,IAD,5,977,282,0
144331,144332,AS,659,PHX,PDX,4,665,180,1
236208,236209,AS,635,PHX,SEA,2,1020,185,1
526476,526477,MQ,4213,ORD,BUF,5,475,90,1
210089,210090,MQ,2703,DFW,MOB,1,565,90,1
295740,295741,US,1070,ORD,PHL,6,360,119,0
327710,327711,US,1097,BOS,PHL,7,1245,87,0
132488,132489,B6,1264,AUS,BOS,3,985,218,0
266357,266358,DL,1497,DTW,SAT,4,740,213,0
11587,11588,DL,8,IAH,ATL,3,955,132,0
519379,519380,EV,5380,ATL,BNA,4,1045,68,0
337070,337071,9E,3975,DAY,MSP,1,751,120,1
320990,320991,US,625,PHX,OAK,7,875,119,0
398574,398575,F9,323,DCA,MKE,4,1080,130,1
465023,465024,XE,5957,HSV,IAD,1,1101,105,1
44768,44769,AA,1935,CMH,DFW,5,805,175,1
485810,485811,OO,4443,CVG,MKE,2,1235,85,1
341979,341980,CO,1469,LAS,EWR,1,1015,276,1
370185,370186,XE,3088,IAH,MCI,3,570,116,0
248228,248229,CO,727,BWI,IAH,3,728,211,0
312311,312312,CO,304,EWR,PDX,7,405,369,1
314242,314243,EV,5157,ATL,XNA,7,515,123,1
501120,501121,US,1211,DCA,PBI,3,1055,151,0
54860,54861,WN,1380,BUF,MCO,6,405,170,0
21050,21051,US,436,ABQ,PHX,4,510,100,0
56950,56951,DL,1422,AUS,DTW,6,525,170,0
475432,475433,FL,18,BWI,SJU,2,681,249,1
526555,526556,DL,269,JFK,MIA,5,480,205,0
226744,226745,WN,1296,MSY,HOU,2,505,80,1
26244,26245,US,1444,CLT,RDU,4,780,49,1
86861,86862,OH,6327,CLT,CVG,1,420,101,0
301705,301706,OO,6417,SMX,LAX,6,694,57,1
250580,250581,EV,5344,VPS,ATL,3,859,78,0
301283,301284,HA,383,ITO,HNL,6,673,49,0
35131,35132,XE,2455,EWR,PVD,4,1290,58,0
230624,230625,AA,1952,ABQ,DFW,2,715,100,0
172734,172735,US,1823,CLT,PBI,5,1205,111,0
238800,238801,MQ,4189,ORD,HSV,2,1160,105,0
176635,176636,XE,5937,ORD,PIA,6,493,49,0
447567,447568,CO,1647,ORD,IAH,7,1167,163,1
335303,335304,AA,720,DFW,LGA,1,665,195,1
453055,453056,B6,232,LGB,SLC,1,482,103,1
192439,192440,WN,998,OAK,MDW,7,585,245,0
35382,35383,FL,144,ATL,DTW,4,1325,114,0
260795,260796,WN,3415,OAK,SAN,4,455,85,1
438040,438041,AA,1356,DFW,IAD,7,665,165,0
340494,340495,MQ,4002,ORD,XNA,1,935,110,1
5235,5236,FL,517,ATL,CMH,3,610,96,0
199576,199577,DL,1514,ATL,FNT,7,965,115,0
167690,167691,EV,5422,DEN,MEM,5,940,130,1
372500,372501,MQ,4217,OKC,ORD,3,690,125,1
217472,217473,YV,2733,PHX,PSP,1,950,90,1
355582,355583,WN,429,LAX,DEN,2,765,135,1
388975,388976,UA,641,BWI,ORD,4,585,132,0
27975,27976,XE,2227,STL,IAH,4,870,118,0
645,646,F9,653,ATL,DEN,3,370,201,1
165562,165563,DL,1196,OGG,LAX,5,826,314,0
418243,418244,DL,1696,HSV,ATL,6,390,82,0
65125,65126,XE,5907,RDU,IAD,6,1020,63,0
408266,408267,CO,303,EWR,IAH,5,645,242,1
154824,154825,DL,341,ATL,TYS,4,1225,55,1
30624,30625,WN,371,CMH,MCO,4,1010,135,1
375437,375438,DL,2757,SFO,LAX,3,843,87,1
527366,527367,MQ,4664,CLE,LGA,5,520,95,0
352813,352814,YV,7239,ORD,PIT,2,622,79,1
352928,352929,AA,385,DFW,ELP,2,630,105,1
413520,413521,OO,6610,DEN,GJT,5,938,53,0
458667,458668,B6,1411,MCO,AUS,1,775,169,1
383605,383606,CO,1803,LAX,EWR,3,1325,298,1
255815,255816,AS,104,ANC,SEA,3,1140,202,1
493804,493805,US,88,PHX,PDX,3,675,169,0
239853,239854,WN,738,DEN,SEA,2,1230,190,1
335176,335177,AA,1871,DFW,LAS,1,660,180,1
378886,378887,DL,1216,SLC,BOS,3,1025,276,1
54619,54620,DL,1209,BOS,SLC,6,390,342,0
126490,126491,MQ,3627,MIA,PNS,3,660,110,0
483845,483846,B6,748,SJU,MCO,2,1121,182,1
288657,288658,WN,1207,MCO,RSW,5,945,50,1
226290,226291,US,2162,DCA,LGA,2,480,74,0
344735,344736,OO,4718,MSP,LEX,1,1155,120,0
406112,406113,WN,1965,SDF,PHX,5,525,255,0
20786,20787,DL,1555,ATL,LAX,4,500,308,1
221509,221510,OO,4636,MSP,FAR,1,1165,65,1
147372,147373,XE,2059,EWR,IND,4,820,134,0
347355,347356,AA,2060,SEA,ORD,2,360,245,1
493574,493575,DL,1122,RSW,ATL,3,665,110,1
496114,496115,MQ,2705,DFW,ROW,3,795,95,1
370212,370213,AA,1901,STL,DFW,3,575,115,1
74813,74814,MQ,3346,SDF,DFW,7,725,150,0
88298,88299,DL,1859,JFK,ATL,1,495,163,0
101730,101731,HA,197,OGG,HNL,1,1200,33,0
139444,139445,AA,1164,DFW,MSY,4,420,80,0
193235,193236,UA,708,SFO,PHX,7,625,120,0
107292,107293,EV,5066,VPS,ATL,2,551,74,0
202129,202130,F9,725,DCA,DEN,7,1095,239,0
477091,477092,9E,3733,ATL,IAH,2,770,149,1
530566,530567,DL,2243,EWR,ATL,5,690,146,1
171946,171947,WN,48,DAL,LIT,5,1160,60,1
185088,185089,WN,483,SFO,LAS,6,995,90,1
12306,12307,OH,6427,SYR,DTW,3,990,100,1
417029,417030,AS,566,PDX,LAX,5,1250,130,0
15877,15878,WN,498,LAS,GEG,3,1180,150,1
276779,276780,EV,5583,CHA,ATL,5,340,47,0
290645,290646,DL,1188,MSY,ATL,5,1050,91,1
12389,12390,AA,356,ORD,LGA,3,995,130,1
108260,108261,WN,1289,SMF,PHX,2,605,105,0
151398,151399,CO,551,RDU,IAH,4,1035,187,0
9053,9054,EV,5095,ATL,BNA,3,815,66,1
322904,322905,FL,102,ATL,DFW,7,978,147,0
210986,210987,MQ,4201,CMH,ORD,1,610,90,1
507788,507789,CO,1590,IAH,MIA,4,445,143,1
223998,223999,WN,1851,ONT,OAK,2,360,80,1
469987,469988,F9,822,MCI,DEN,2,405,110,1
775,776,WN,1056,STL,LAS,3,375,235,1
91552,91553,MQ,3680,MIA,GSO,1,660,125,0
505210,505211,EV,7139,IAD,CMH,3,1330,75,0
292603,292604,WN,2791,SJC,LAS,5,1150,85,1
436474,436475,DL,2078,ATL,MDW,7,580,118,1
336229,336230,B6,540,PBI,EWR,1,710,168,0
534920,534921,AA,484,DFW,MIA,5,935,165,1
182987,182988,XE,5999,TUL,ORD,6,863,113,1
105662,105663,WN,703,TUL,DEN,2,465,110,0
94874,94875,WN,1664,LAX,PHX,1,830,80,0
354234,354235,OH,6255,CVG,DTW,2,695,82,0
514221,514222,YV,7277,ORD,SAT,4,776,176,1
525937,525938,DL,2012,ATL,ORD,5,445,127,0
456855,456856,AS,730,SEA,IAH,1,680,250,0
427432,427433,AA,428,DFW,RDU,6,960,150,1
518287,518288,EV,5305,MGM,MEM,4,990,75,1
286050,286051,EV,5177,ATL,CHA,5,810,48,1
341653,341654,WN,293,SAN,OAK,1,995,85,1
428672,428673,US,408,SFO,PHX,6,1035,118,0
221415,221416,DL,1638,ATL,DCA,1,1160,116,1
84372,84373,CO,1717,IAH,SAN,7,1260,208,1
379617,379618,DL,1189,BWI,SLC,3,1060,294,1
464015,464016,US,497,EWR,CLT,1,1050,122,1
259563,259564,DL,2274,CMH,MSP,4,395,146,1
42836,42837,US,904,CLT,ORD,5,700,132,1
28900,28901,AA,1514,ONT,DFW,4,920,170,0
125909,125910,FL,23,MDW,ATL,3,627,106,0
185567,185568,OO,6748,CLD,LAX,6,1030,39,0
467106,467107,MQ,2733,DFW,GPT,1,1220,90,1
456220,456221,WN,1091,LAS,OKC,1,645,140,1
294318,294319,WN,2791,LAS,SLC,5,1260,75,1
5255,5256,US,122,PHX,MKE,3,610,211,0
454705,454706,HA,132,OGG,ITO,1,569,36,1
239974,239975,AA,1464,DFW,TUL,2,1245,55,1
285051,285052,WN,569,MDW,MCI,5,755,90,1
183849,183850,DL,1761,PHL,ATL,6,915,143,0
374091,374092,MQ,4011,JAX,ORD,3,775,165,0
168868,168869,EV,5010,ATL,OAJ,5,1002,82,0
442875,442876,DL,2038,ATL,DCA,7,920,105,1
183638,183639,WN,1011,DEN,BWI,6,900,200,1
523175,523176,UA,691,ORD,MSY,4,1269,146,0
280557,280558,MQ,3084,SAN,LAX,5,525,50,0
400185,400186,FL,463,BWI,ATL,4,1167,125,0
274268,274269,CO,479,IAH,SAT,4,1155,66,1
373984,373985,UA,194,EGE,DEN,3,769,61,0
48864,48865,CO,784,EWR,PDX,5,1020,376,0
97255,97256,US,2178,DCA,LGA,1,960,76,0
63959,63960,MQ,2929,DFW,BTR,6,945,80,0
348586,348587,OH,6590,IAD,CVG,2,411,114,0
318635,318636,WN,2693,TPA,MCI,7,745,175,1
329599,329600,F9,143,HOU,DEN,1,375,146,1
149353,149354,WN,1486,DAL,OKC,4,925,50,1
495040,495041,EV,7065,IAD,PWM,3,737,92,0
81818,81819,US,1740,BUF,PHL,7,1098,92,0
479737,479738,WN,851,PHX,MDW,2,905,200,1
86980,86981,DL,2665,DCA,MCO,1,425,151,1
410324,410325,MQ,3947,ORD,TYS,5,750,90,0
111847,111848,OO,6648,CWA,ORD,2,801,68,1
403182,403183,AA,532,DFW,RDU,5,370,140,0
142776,142777,CO,720,DEN,CLE,4,585,163,0
405466,405467,YV,7216,IAD,ALB,5,495,71,0
462412,462413,MQ,4047,ORD,RIC,1,970,115,0
162542,162543,US,796,LAX,PHL,5,670,305,0
436763,436764,US,250,PHX,PHL,7,595,278,0
224004,224005,WN,367,MDW,BNA,2,360,85,1
371071,371072,EV,5182,CAE,ATL,3,616,69,1
34369,34370,WN,916,DEN,HOU,4,1210,140,0
73791,73792,EV,7109,HSV,IAD,7,675,106,0
284198,284199,OO,6485,SFO,CEC,5,713,93,0
402050,402051,B6,1109,JFK,RDU,4,1310,103,1
447326,447327,AA,1501,DFW,ABQ,7,1155,110,0
425246,425247,WN,2060,TUS,DEN,6,825,115,1
408846,408847,DL,2105,MSP,SFO,5,675,248,0
250067,250068,UA,82,HNL,LAX,3,829,331,0
45952,45953,XE,2228,MEM,EWR,5,865,162,0
393273,393274,XE,2812,AMA,IAH,4,805,97,1
488999,489000,9E,3864,MSP,PIT,3,430,130,0
470758,470759,WN,1681,SLC,PHX,2,440,105,1
518067,518068,CO,1861,PHX,IAH,4,980,153,1
420700,420701,DL,2181,MSP,SMF,6,555,243,0
307747,307748,WN,1896,SJC,ONT,6,1045,70,1
375218,375219,UA,34,OGG,SFO,3,833,287,0
235421,235422,WN,1976,IND,MCI,2,975,100,0
338993,338994,OO,6942,EUG,PDX,1,856,37,1
33426,33427,WN,641,PHL,FLL,4,1155,180,1
284138,284139,FL,1492,MCO,CMH,5,709,130,0
88620,88621,DL,1825,BWI,ATL,1,510,120,1
273011,273012,UA,947,IAD,MCO,4,1085,150,1
275634,275635,AA,372,SJU,TPA,4,1245,180,0
67423,67424,WN,1359,SAN,OAK,6,1220,90,0
35445,35446,MQ,2875,DFW,XNA,4,1335,60,0
118916,118917,WN,425,PHL,MHT,2,1190,80,0
476400,476401,AA,1701,AUS,DFW,2,730,65,1
489297,489298,AA,2324,DFW,ORD,3,445,140,1
278169,278170,MQ,4240,SPI,ORD,5,410,65,0
71187,71188,WN,500,SAN,HOU,7,530,180,1
306560,306561,US,1528,MSY,CLT,6,975,111,1
529192,529193,EV,7127,DAY,IAD,5,617,78,0
170150,170151,OO,6383,SFO,SBA,5,1065,82,1
2925,2926,B6,219,JFK,CLT,3,490,121,0
60605,60606,EV,7309,ATL,CHA,6,735,47,0
165720,165721,WN,160,SMF,ONT,5,835,75,1
287980,287981,WN,3343,BOI,SLC,5,910,60,1
440967,440968,DL,2297,ATL,MSY,7,820,98,1
284356,284357,US,1241,PHL,TPA,5,720,159,0
475306,475307,US,457,PHX,SLC,2,675,101,1
311763,311764,CO,429,TUS,IAH,7,365,139,1
138529,138530,WN,1426,STL,DAL,4,365,110,0
281018,281019,UA,120,SFO,IAD,5,549,306,1
267200,267201,OO,6671,ORD,LIT,4,785,107,0
437389,437390,WN,102,HOU,DEN,7,625,150,1
331177,331178,CO,605,OKC,IAH,1,452,83,0
253728,253729,OH,6481,BNA,MEM,3,1025,66,0
5452,5453,WN,2006,TPA,PIT,3,620,140,1
379505,379506,CO,359,DCA,IAH,3,1055,214,1
427159,427160,MQ,4338,ORD,DTW,6,940,80,1
39960,39961,B6,667,BUF,MCO,5,553,167,0
298953,298954,OO,4879,BOI,SLC,6,540,72,0
401434,401435,CO,1644,IAH,SMF,4,1250,254,1
267218,267219,WN,1566,DAL,MCI,4,785,85,1
101051,101052,EV,7375,GSP,ATL,1,1160,73,1
51355,51356,F9,798,PDX,DEN,5,1146,138,0
437275,437276,CO,700,FLL,EWR,7,620,177,0
65638,65639,9E,3760,ATL,HPN,6,1060,143,0
268185,268186,DL,2025,ATL,IAH,4,837,138,1
424932,424933,AS,467,LAX,SEA,6,810,155,1
206340,206341,OO,4553,LAX,LAS,1,375,70,0
502080,502081,WN,2008,SEA,LAS,3,1105,145,1
18822,18823,UA,507,ORD,DFW,4,396,158,0
187706,187707,AA,1339,ORD,SAN,6,1215,260,1
45178,45179,AS,627,LAS,BLI,5,825,164,0
437520,437521,WN,636,PHX,SNA,7,630,85,1
270298,270299,OO,6742,IND,DEN,4,949,179,0
495736,495737,OO,6273,LAX,SEA,3,777,164,1
349477,349478,DL,1878,SAV,ATL,2,453,80,0
249063,249064,WN,851,JAX,LAS,3,775,310,1
169489,169490,DL,1027,SEA,HNL,5,1035,371,1
