Ages,Vienna,Berlin,London,Norwich,Nothampton,Breflaw,Brandenburg,Holy-Crofd,Holland,France,Vaud
0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
1,45.8%,36.7%,32.0%,20.2%,26.2%,23.1%,25.5%,11.8%,19.6%,19.5%,18.3%
2,52.9%,47.2%,45.2%,34.9%,37.2%,34.2%,28.2%,43.8%,43.2%,22.3%,43.5%
3,57.0%,51.5%,50.8%,40.5%,41.5%,38.6%,31.3%,28.3%,26.4%,25.0%,26.5%
4,60.0%,56.6%,54.8%,43.4%,43.8%,41.5%,33.6%,31.8%,29.1%,27.3%,28.5%
5,62.3%,59.7%,57.4%,45.6%,45.6%,43.7%,35.8%,34.1%,31.1%,28.9%,29.9%
6,64.3%,61.3%,58.7%,47.4%,47.0%,45.4%,37.8%,36.4%,32.4%,30.3%,31.2%
7,65.6%,62.4%,60.3%,48.9%,48.2%,46.8%,39.6%,38.2%,33.9%,31.4%,32.3%
8,66.3%,63.6%,61.2%,50.0%,49.0%,47.7%,40.5%,39.6%,34.8%,32.4%,33.3%
9,66.9%,63.9%,62.0%,51.0%,49.6%,45.5%,41.5%,40.5%,35.4%,33.3%,34.1%
10,67.4%,64.4%,62.7%,51.9%,50.2%,49.2%,42.3%,41.1%,36.1%,34.0%,34.7%
11,67.8%,64.7%,63.3%,52.6%,50.7%,40.8%,43.0%,41.5%,36.7%,34.6%,35.2%
12,68.2%,64.1%,63.9%,51.2%,51.2%,50.3%,43.6%,41.9%,37.3%,35.1%,35.7%
13,68.6%,65.3%,64.4%,53.6%,51.6%,50.8%,44.1%,42.3%,37.9%,35.6%,36.1%
14,69.0%,65.6%,64.9%,54.0%,52.0%,51.2%,44.6%,42.7%,38.4%,36.1%,36.5%
15,69.4%,65.9%,65.3%,54.5%,52.5%,51.7%,45.1%,43.1%,38.9%,36.5%,36.9%
16,69.8%,66.2%,65.7%,54.9%,53.0%,52.1%,42.6%,43.5%,39.4%,36.9%,37.4%
17,70.1%,66.5%,66.2%,55.4%,53.5%,52.6%,46.1%,44.0%,39.9%,37.4%,37.8%
18,70.5%,66.8%,66.6%,55.8%,54.1%,53.0%,46.5%,44.5%,40.4%,37.9%,38.2%
19,70.9%,67.2%,67.1%,56.3%,54.7%,53.5%,46.9%,45.0%,41.0%,38.4%,38.6%
20,71.3%,67.6%,67.5%,56.8%,55.3%,53.9%,47.3%,45.5%,41.6%,39.0%,39.0%
21,71.6%,68.0%,67.9%,57.4%,56.0%,54.4%,47.8%,46.1%,42.3%,39.6%,39.4%
22,72.0%,68.5%,68.4%,57.9%,56.7%,54.9%,48.3%,46.8%,42.9%,40.2%,39.8%
23,72.4%,69.0%,69.0%,58.5%,57.4%,55.4%,48.8%,47.5%,43.4%,40.8%,40.3%
24,72.7%,69.5%,69.5%,59.1%,58.1%,55.9%,49.3%,48.2%,44.1%,41.4%,40.8%
25,73.1%,70.3%,70.1%,59.6%,58.8%,56.4%,49.8%,48.8%,44.9%,42.0%,41.3%
26,73.5%,70.7%,70.6%,60.2%,59.5%,56.9%,50.2%,49.4%,45.7%,42.6%,41.8%
27,73.9%,71.3%,71.2%,60.8%,60.2%,57.4%,50.5%,49.9%,46.5%,43.2%,42.3%
28,74.4%,71.9%,71.7%,61.5%,60.9%,57.9%,50.8%,50.4%,47.4%,43.7%,42.8%
29,74.9%,72.5%,72.2%,62.2%,61.6%,58.5%,51.1%,50.9%,48.3%,44.4%,43.3%
30,75.3%,73.1%,72.8%,62.8%,62.2%,59.1%,51.4%,51.4%,49.2%,45.0%,43.7%
31,75.7%,73.6%,73.4%,63.5%,62.8%,59.7%,51.8%,51.9%,50.1%,45.6%,44.2%
32,76.1%,74.1%,74.0%,63.9%,63.4%,60.3%,52.3%,52.4%,51.0%,56.2%,44.7%
33,76.5%,74.6%,74.6%,64.5%,65.0%,60.9%,52.8%,52.9%,51.8%,46.8%,65.2%
34,76.9%,75.1%,75.2%,65.0%,64.6%,61.6%,53.3%,53.4%,52.6%,47.4%,48.6%
35,77.4%,75.7%,75.8%,65.6%,65.2%,62.3%,53.8%,54.0%,53.3%,48.0%,46.1%
36,77.9%,76.3%,76.4%,66.2%,65.8%,63.0%,54.4%,54.6%,54.0%,48.6%,46.7%
37,78.4%,77.0%,77.0%,66.7%,66.4%,63.7%,55.0%,55.3%,54.7%,49.2%,47.3%
38,78.9%,77.7%,77.6%,66.3%,67.0%,64.4%,55.6%,56.0%,55.4%,40.7%,48.0%
39,79.5%,78.4%,78.2%,67.8%,67.6%,65.1%,56.2%,56.7%,56.1%,50.3%,48.7%
40,80.1%,79.1%,78.6%,68.3%,68.3%,65.8%,56.8%,57.4%,56.8%,50.8%,49.4%
41,80.6%,79.7%,79.3%,68.9%,69.0%,66.5%,57.3%,58.2%,57.5%,51.3%,50.0%
42,81.1%,80.3%,79.9%,69.4%,69.7%,67.2%,57.8%,59.0%,58.1%,51.8%,50.6%
