,index,Breed,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs
0,0,Akita,26.0,28.0,80.0,120.0
1,1,Anatolian Sheepdog,27.0,29.0,100.0,150.0
2,2,Bernese Mountain Dog,23.0,27.0,85.0,110.0
3,3,Bloodhound,24.0,26.0,80.0,120.0
4,4,Borzoi,26.0,28.0,70.0,100.0
5,5,Bullmastiff,25.0,27.0,100.0,130.0
6,6,Great Dane,32.0,32.0,120.0,160.0
7,7,Great Pyrenees,27.0,32.0,95.0,120.0
8,8,Great Swiss Mountain Dog,23.0,28.0,130.0,150.0
9,9,Irish Wolfhound,28.0,35.0,90.0,150.0
10,10,Kuvasz,28.0,30.0,70.0,120.0
11,11,Mastiff,27.0,30.0,175.0,190.0
12,12,Neopolitan Mastiff,24.0,30.0,100.0,150.0
13,13,Newfoundland,26.0,28.0,100.0,150.0
14,14,Otter Hound,24.0,26.0,65.0,110.0
15,15,Rottweiler,22.0,27.0,90.0,110.0
16,16,Saint Bernard,25.0,28.0,110.0,190.0
17,17,Afghan Hound,25.0,27.0,50.0,60.0
18,18,Alaskan Malamute,17.72,20.67,42.39,56.97
19,19,American Foxhound,22.0,25.0,65.0,70.0
20,20,Beauceron,24.0,27.0,100.0,120.0
21,21,Belgian Malinois,22.0,26.0,60.0,65.0
22,22,Belgian Sheepdog,22.0,26.0,60.0,75.0
23,23,Belgian Tervuren,22.0,26.0,60.0,75.0
24,24,Black And Tan Coonhound,23.0,27.0,50.0,75.0
25,25,Black Russian Terrier,25.0,29.0,80.0,140.0
26,26,Bouvier Des Flandres,23.0,27.0,75.0,95.0
27,27,Boxer,21.0,25.0,65.0,70.0
28,28,Briard,23.0,27.0,74.0,76.0
29,29,Chesapeake Bay Retriever,21.0,26.0,55.0,75.0
30,30,Clumber Spaniel,19.0,20.0,35.0,65.0
31,31,Collie (Rough) & (Smooth),22.0,26.0,50.0,75.0
32,32,Curly Coated Retriever,25.0,27.0,65.0,80.0
33,33,Doberman Pinscher,26.0,28.0,60.0,100.0
34,34,English Foxhound,22.0,25.0,65.0,70.0
35,35,English Setter,23.0,27.0,45.0,80.0
36,36,German Shepherd Dog,22.0,26.0,75.0,90.0
37,37,German Shorthaired Pointer,20.0,27.0,50.0,80.0
38,38,German Wirehaired Pointer,22.0,26.0,60.0,70.0
39,39,Giant Schnauzer,25.0,28.0,70.0,75.0
40,40,Golden Retriever,21.0,24.0,55.0,75.0
41,41,Gordon Setter,23.0,27.0,45.0,80.0
42,42,Greyhound,27.0,30.0,60.0,70.0
43,43,Irish Setter,25.0,27.0,60.0,70.0
44,44,Komondor,26.5,35.5,80.0,135.0
45,45,Labrador Retriever,21.0,24.0,55.0,80.0
46,46,Old English Sheepdog (Bobtail),20.0,24.0,60.0,65.0
47,47,Poodle Standard,15.0,25.0,45.0,45.0
48,48,Rhodesian Ridgeback,24.0,27.0,70.0,85.0
49,49,Scottish Deerhound,28.0,32.0,75.0,110.0
50,50,Spinone Italiano,23.0,28.0,65.0,80.0
51,51,Tibetan Mastiff,24.0,26.0,140.0,170.0
