,index,Breed,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,Classification,obey,reps_lower,reps_upper,average height,average weight,height variability,weight variability,repetitions variability,linear
40,40,Golden Retriever,21.0,24.0,55.0,75.0,Brightest Dogs,0.95,1.0,4.0,22.5,65.0,0.0666666666666666,0.1538461538461538,0.6,2.888888888888889
145,145,Papillon,8.0,11.0,5.0,10.0,Brightest Dogs,0.95,1.0,4.0,9.5,7.5,0.1578947368421052,0.3333333333333333,0.6,0.7894736842105263
45,45,Labrador Retriever,21.0,24.0,55.0,80.0,Brightest Dogs,0.95,1.0,4.0,22.5,67.5,0.0666666666666666,0.1851851851851851,0.6,3.0
60,60,Border Collie,19.0,21.0,40.0,40.0,Brightest Dogs,0.95,1.0,4.0,20.0,40.0,0.05,0.0,0.6,2.0
56,56,Australian Cattle Dog,17.0,20.0,35.0,45.0,Brightest Dogs,0.95,1.0,4.0,18.5,40.0,0.081081081081081,0.125,0.6,2.1621621621621623
33,33,Doberman Pinscher,26.0,28.0,60.0,100.0,Brightest Dogs,0.95,1.0,4.0,27.0,80.0,0.037037037037037,0.25,0.6,2.962962962962963
15,15,Rottweiler,22.0,27.0,90.0,110.0,Brightest Dogs,0.95,1.0,4.0,24.5,100.0,0.1020408163265306,0.1,0.6,4.081632653061225
96,96,Vizsla,48.0,66.0,22.0,25.0,Excellent Working Dogs,0.85,5.0,15.0,57.0,23.5,0.1578947368421052,0.0638297872340425,0.5,0.41228070175438597
77,77,Irish Water Spaniel,10.0,23.0,45.0,65.0,Excellent Working Dogs,0.85,5.0,15.0,16.5,55.0,0.3939393939393939,0.1818181818181818,0.5,3.3333333333333335
37,37,German Shorthaired Pointer,20.0,27.0,50.0,80.0,Excellent Working Dogs,0.85,5.0,15.0,23.5,65.0,0.1489361702127659,0.2307692307692307,0.5,2.765957446808511
22,22,Belgian Sheepdog,22.0,26.0,60.0,75.0,Excellent Working Dogs,0.85,5.0,15.0,24.0,67.5,0.0833333333333333,0.1111111111111111,0.5,2.8125
21,21,Belgian Malinois,22.0,26.0,60.0,65.0,Excellent Working Dogs,0.85,5.0,15.0,24.0,62.5,0.0833333333333333,0.04,0.5,2.6041666666666665
109,109,Cardigan Welsh Corgi,10.0,12.0,25.0,35.0,Excellent Working Dogs,0.85,5.0,15.0,11.0,30.0,0.0909090909090909,0.1666666666666666,0.5,2.727272727272727
78,78,Keeshond,17.0,19.0,35.0,50.0,Excellent Working Dogs,0.85,5.0,15.0,18.0,42.5,0.0555555555555555,0.1764705882352941,0.5,2.361111111111111
52,52,Weimaraner,25.0,27.0,70.0,85.0,Excellent Working Dogs,0.85,5.0,15.0,26.0,77.5,0.0384615384615384,0.0967741935483871,0.5,2.980769230769231
70,70,English Springer Spaniel,20.0,20.0,45.0,55.0,Excellent Working Dogs,0.85,5.0,15.0,20.0,50.0,0.0,0.1,0.5,2.5
2,2,Bernese Mountain Dog,23.0,27.0,85.0,110.0,Excellent Working Dogs,0.85,5.0,15.0,25.0,97.5,0.08,0.1282051282051282,0.5,3.9
146,146,Pomeranian,12.0,12.0,3.0,7.0,Excellent Working Dogs,0.85,5.0,15.0,12.0,5.0,0.0,0.4,0.5,0.4166666666666667
61,61,Brittany,17.0,21.0,30.0,40.0,Excellent Working Dogs,0.85,5.0,15.0,19.0,35.0,0.1052631578947368,0.1428571428571428,0.5,1.8421052631578947
125,125,Schipperke,10.0,13.0,12.0,18.0,Excellent Working Dogs,0.85,5.0,15.0,11.5,15.0,0.1304347826086956,0.2,0.5,1.3043478260869565
