,Ages,Vienna,Berlin,London,Norwich,Nothampton,Breflaw,Brandenburg,Holy-Crofd,Holland,France,Vaud
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.45799999999999996,0.367,0.31999999999999995,0.20199999999999996,0.262,0.23099999999999998,0.255,0.118,0.19599999999999995,0.19499999999999995,0.18300000000000005
2,2.0,0.529,0.472,0.45199999999999996,0.349,0.372,0.34199999999999997,0.28200000000000003,0.43799999999999994,0.43200000000000005,0.22299999999999998,0.43500000000000005
3,3.0,0.5700000000000001,0.515,0.508,0.405,0.41500000000000004,0.386,0.31299999999999994,0.28300000000000003,0.264,0.25,0.265
4,4.0,0.6,0.5660000000000001,0.548,0.43400000000000005,0.43799999999999994,0.41500000000000004,0.33599999999999997,0.31799999999999995,0.29100000000000004,0.273,0.28500000000000003
5,5.0,0.623,0.597,0.5740000000000001,0.45599999999999996,0.45599999999999996,0.43700000000000006,0.358,0.34099999999999997,0.31100000000000005,0.28900000000000003,0.29900000000000004
6,6.0,0.643,0.613,0.587,0.474,0.47,0.45399999999999996,0.378,0.364,0.32399999999999995,0.30300000000000005,0.31200000000000006
7,7.0,0.656,0.624,0.603,0.489,0.482,0.46799999999999997,0.396,0.382,0.33899999999999997,0.31399999999999995,0.32299999999999995
8,8.0,0.663,0.636,0.612,0.5,0.49,0.477,0.405,0.396,0.348,0.32399999999999995,0.33299999999999996
9,9.0,0.669,0.639,0.62,0.51,0.496,0.45499999999999996,0.41500000000000004,0.405,0.354,0.33299999999999996,0.34099999999999997
10,10.0,0.6739999999999999,0.644,0.627,0.519,0.502,0.492,0.42300000000000004,0.41100000000000003,0.361,0.33999999999999997,0.347
11,11.0,0.6779999999999999,0.647,0.633,0.526,0.507,0.40800000000000003,0.43000000000000005,0.41500000000000004,0.367,0.346,0.352
12,12.0,0.6819999999999999,0.641,0.639,0.512,0.512,0.503,0.43600000000000005,0.41900000000000004,0.373,0.351,0.357
13,13.0,0.6859999999999999,0.653,0.644,0.536,0.516,0.508,0.44099999999999995,0.42300000000000004,0.379,0.356,0.361
14,14.0,0.69,0.656,0.649,0.54,0.52,0.512,0.44599999999999995,0.42700000000000005,0.384,0.361,0.365
15,15.0,0.694,0.659,0.653,0.5449999999999999,0.525,0.517,0.45099999999999996,0.43100000000000005,0.389,0.365,0.369
16,16.0,0.698,0.6619999999999999,0.657,0.5489999999999999,0.53,0.521,0.42600000000000005,0.43500000000000005,0.394,0.369,0.374
17,17.0,0.7010000000000001,0.665,0.6619999999999999,0.554,0.5349999999999999,0.526,0.46099999999999997,0.43999999999999995,0.399,0.374,0.378
18,18.0,0.7050000000000001,0.6679999999999999,0.6659999999999999,0.558,0.5409999999999999,0.53,0.46499999999999997,0.44499999999999995,0.404,0.379,0.382
19,19.0,0.7090000000000001,0.6719999999999999,0.671,0.563,0.5469999999999999,0.5349999999999999,0.469,0.44999999999999996,0.41000000000000003,0.384,0.386
20,20.0,0.7130000000000001,0.6759999999999999,0.675,0.5680000000000001,0.5529999999999999,0.5389999999999999,0.473,0.45499999999999996,0.41600000000000004,0.39,0.39
21,21.0,0.716,0.6799999999999999,0.679,0.5740000000000001,0.56,0.544,0.478,0.46099999999999997,0.42300000000000004,0.396,0.394
22,22.0,0.72,0.685,0.6839999999999999,0.579,0.567,0.5489999999999999,0.483,0.46799999999999997,0.42900000000000005,0.402,0.398
23,23.0,0.724,0.69,0.69,0.585,0.5740000000000001,0.554,0.488,0.475,0.43400000000000005,0.40800000000000003,0.403
24,24.0,0.727,0.6950000000000001,0.6950000000000001,0.591,0.581,0.5589999999999999,0.493,0.482,0.44099999999999995,0.41400000000000003,0.40800000000000003
25,25.0,0.731,0.7030000000000001,0.7010000000000001,0.596,0.5880000000000001,0.5640000000000001,0.498,0.488,0.44899999999999995,0.42000000000000004,0.41300000000000003
26,26.0,0.735,0.7070000000000001,0.706,0.602,0.595,0.569,0.502,0.494,0.45699999999999996,0.42600000000000005,0.41800000000000004
27,27.0,0.739,0.7130000000000001,0.712,0.608,0.602,0.5740000000000001,0.505,0.499,0.46499999999999997,0.43200000000000005,0.42300000000000004
28,28.0,0.744,0.719,0.7170000000000001,0.615,0.609,0.579,0.508,0.504,0.474,0.43700000000000006,0.42800000000000005
29,29.0,0.749,0.725,0.722,0.622,0.616,0.585,0.511,0.509,0.483,0.44399999999999995,0.43300000000000005
30,30.0,0.753,0.731,0.728,0.628,0.622,0.591,0.514,0.514,0.492,0.44999999999999996,0.43700000000000006
31,31.0,0.757,0.736,0.734,0.635,0.628,0.597,0.518,0.519,0.501,0.45599999999999996,0.44199999999999995
32,32.0,0.761,0.741,0.74,0.639,0.634,0.603,0.523,0.524,0.51,0.562,0.44699999999999995
33,33.0,0.765,0.746,0.746,0.645,0.65,0.609,0.528,0.529,0.518,0.46799999999999997,0.652
34,34.0,0.769,0.751,0.752,0.65,0.646,0.616,0.5329999999999999,0.534,0.526,0.474,0.486
35,35.0,0.774,0.757,0.758,0.656,0.652,0.623,0.538,0.54,0.5329999999999999,0.48,0.46099999999999997
36,36.0,0.779,0.763,0.764,0.6619999999999999,0.6579999999999999,0.63,0.544,0.546,0.54,0.486,0.46699999999999997
37,37.0,0.784,0.77,0.77,0.667,0.6639999999999999,0.637,0.55,0.5529999999999999,0.5469999999999999,0.492,0.473
38,38.0,0.789,0.777,0.776,0.663,0.6699999999999999,0.644,0.556,0.56,0.554,0.40700000000000003,0.48
39,39.0,0.795,0.784,0.782,0.6779999999999999,0.6759999999999999,0.651,0.562,0.567,0.5609999999999999,0.503,0.487
40,40.0,0.8009999999999999,0.791,0.786,0.683,0.683,0.6579999999999999,0.5680000000000001,0.5740000000000001,0.5680000000000001,0.508,0.494
41,41.0,0.806,0.7969999999999999,0.793,0.6890000000000001,0.69,0.665,0.573,0.5820000000000001,0.575,0.513,0.5
42,42.0,0.8109999999999999,0.8029999999999999,0.7989999999999999,0.694,0.6970000000000001,0.6719999999999999,0.5780000000000001,0.5900000000000001,0.581,0.518,0.506
43,43.0,0.815,0.808,0.899,0.61,0.794,0.679,0.583,0.599,0.587,0.5640000000000001,0.512
44,44.0,0.819,0.813,0.916,0.7090000000000001,0.7110000000000001,0.6859999999999999,0.888,0.607,0.593,0.529,0.518
45,45.0,0.8240000000000001,0.8180000000000001,0.8200000000000001,0.7130000000000001,0.718,0.6930000000000001,0.593,0.614,0.6,0.534,0.5840000000000001
46,46.0,0.829,0.843,0.8260000000000001,0.719,0.725,0.7010000000000001,0.6,0.621,0.607,0.54,0.531
47,47.0,0.835,0.8280000000000001,0.893,0.726,0.732,0.7090000000000001,0.606,0.628,0.614,0.5449999999999999,0.5389999999999999
48,48.0,0.841,0.893,0.841,0.737,0.739,0.7170000000000001,0.612,0.635,0.622,0.5509999999999999,0.5489999999999999
49,49.0,0.847,0.838,0.847,0.739,0.746,0.725,0.619,0.641,0.63,0.5569999999999999,0.5589999999999999
50,50.0,0.853,0.843,0.853,0.745,0.753,0.733,0.626,0.647,0.638,0.5640000000000001,0.563
51,51.0,0.858,0.848,0.859,0.752,0.761,0.741,0.633,0.653,0.646,0.571,0.5780000000000001
52,52.0,0.863,0.853,0.865,0.758,0.768,0.75,0.641,0.63,0.655,0.5780000000000001,0.5860000000000001
53,53.0,0.867,0.858,0.87,0.765,0.775,0.759,0.649,0.667,0.6639999999999999,0.5860000000000001,0.594
54,54.0,0.872,0.863,0.875,0.772,0.782,0.768,0.657,0.6739999999999999,0.673,0.594,0.603
55,55.0,0.877,0.868,0.88,0.779,0.789,0.776,0.6659999999999999,0.6819999999999999,0.6819999999999999,0.603,0.612
56,56.0,0.883,0.873,0.884,0.787,0.796,0.784,0.6759999999999999,0.69,0.6910000000000001,0.612,0.623
57,57.0,0.889,0.879,0.889,0.794,0.8029999999999999,0.791,0.6859999999999999,0.6990000000000001,0.7,0.621,0.646
58,58.0,0.894,0.885,0.894,0.8009999999999999,0.81,0.7989999999999999,0.6859999999999999,0.708,0.7090000000000001,0.631,0.652
59,59.0,0.899,0.891,0.899,0.8089999999999999,0.817,0.8069999999999999,0.696,0.7170000000000001,0.718,0.641,0.669
60,60.0,0.904,0.897,0.904,0.8160000000000001,0.8240000000000001,0.8140000000000001,0.7070000000000001,0.727,0.727,0.681,0.6859999999999999
61,61.0,0.909,0.903,0.908,0.823,0.831,0.8220000000000001,0.718,0.737,0.739,0.661,0.7010000000000001
62,62.0,0.913,0.908,0.913,0.831,0.838,0.83,0.729,0.747,0.745,0.671,0.714
63,63.0,0.918,0.912,0.917,0.839,0.845,0.837,0.74,0.757,0.755,0.6819999999999999,0.726
64,64.0,0.923,0.916,0.942,0.847,0.852,0.845,0.752,0.767,0.765,0.6930000000000001,0.738
65,65.0,0.928,0.92,0.926,0.856,0.859,0.853,0.764,0.777,0.775,0.704,0.741
66,66.0,0.933,0.925,0.9299999999999999,0.864,0.866,0.86,0.776,0.787,0.785,0.7150000000000001,0.764
67,67.0,0.938,0.921,0.935,0.872,0.873,0.868,0.787,0.7969999999999999,0.795,0.727,0.78
68,68.0,0.943,0.935,0.9390000000000001,0.881,0.88,0.876,0.798,0.8069999999999999,0.8049999999999999,0.74,0.798
69,69.0,0.948,0.94,0.944,0.889,0.887,0.883,0.81,0.8180000000000001,0.815,0.754,0.819
70,70.0,0.952,0.945,0.948,0.897,0.894,0.891,0.8220000000000001,0.829,0.825,0.768,0.832
71,71.0,0.956,0.949,0.953,0.906,0.901,0.899,0.834,0.839,0.835,0.782,0.847
72,72.0,0.96,0.953,0.957,0.914,0.908,0.907,0.847,0.849,0.845,0.8049999999999999,0.86
73,73.0,0.964,0.957,0.961,0.921,0.915,0.915,0.862,0.858,0.855,0.812,0.871
74,74.0,0.967,0.961,0.965,0.929,0.902,0.943,0.878,0.866,0.865,0.827,0.881
75,75.0,0.97,0.965,0.968,0.9359999999999999,0.929,0.931,0.893,0.874,0.875,0.842,0.891
76,76.0,0.973,0.968,0.972,0.943,0.9359999999999999,0.9390000000000001,0.907,0.881,0.886,0.886,0.902
77,77.0,0.976,0.971,0.975,0.95,0.942,0.947,0.92,0.888,0.897,0.871,0.915
78,78.0,0.979,0.974,0.978,0.957,0.948,0.955,0.9319999999999999,0.895,0.908,0.885,0.929
79,79.0,0.982,0.977,0.981,0.963,0.954,0.962,0.9410000000000001,0.902,0.918,0.898,0.942
80,80.0,0.984,0.98,0.983,0.968,0.96,0.968,0.949,0.91,0.928,0.912,0.954
81,81.0,0.986,0.982,0.986,0.973,0.966,0.974,0.956,0.919,0.938,0.925,0.964
82,82.0,0.988,0.984,0.988,0.977,0.972,0.978,0.962,0.929,0.947,0.937,0.961
83,83.0,0.99,0.986,0.99,0.981,0.977,0.982,0.968,0.9390000000000001,0.955,0.947,0.976
84,84.0,0.992,0.988,0.992,0.974,0.981,0.985,0.975,0.949,0.962,0.956,0.98
85,85.0,0.993,0.99,0.993,0.987,0.984,0.988,0.979,0.959,0.969,0.964,0.983
86,86.0,0.994,0.992,0.994,0.99,0.987,0.991,0.985,0.968,0.975,0.972,0.986
